152, 0.259227 0.177822 0.280648 0.151644 0.1894 0.32001 0.18305 0.189386 0.252338 0.229033 0.223029 0.111022;
153, 0.262091 0.172652 0.286694 0.154385 0.185814 0.320563 0.185081 0.191675 0.258849 0.231006 0.237699 0.119509 beat;
154, 0.265183 0.171803 0.291597 0.162137 0.176382 0.316609 0.18947 0.191209 0.262576 0.233912 0.256627 0.124381;
155, 0.267039 0.170036 0.296358 0.167425 0.175822 0.31099 0.195404 0.191767 0.263335 0.235206 0.263547 0.139875;
156, 0.268878 0.172018 0.299347 0.169566 0.171387 0.305631 0.196049 0.190191 0.26155 0.235334 0.262415 0.144927;
157, 0.269952 0.18259 0.300611 0.166051 0.169807 0.299986 0.198685 0.187408 0.257387 0.232276 0.258847 0.152003;
158, 0.272655 0.189992 0.298591 0.160149 0.169276 0.295541 0.200182 0.18371 0.253323 0.231885 0.252096 0.156256;
159, 0.268044 0.193415 0.296241 0.151857 0.173654 0.294238 0.1957 0.18281 0.247034 0.233435 0.237415 0.162495;
160, 0.261068 0.197173 0.289699 0.145532 0.173999 0.297867 0.196322 0.183234 0.244538 0.234297 0.222766 0.162393;
161, 0.254991 0.200828 0.281808 0.136855 0.17695 0.302239 0.190399 0.184807 0.244671 0.237208 0.209364 0.167353;
162, 0.24809 0.203527 0.277182 0.127654 0.183113 0.306975 0.190008 0.184816 0.244854 0.235393 0.195154 0.165176;
163, 0.238959 0.210004 0.273318 0.125697 0.182027 0.308526 0.197065 0.181417 0.245475 0.233006 0.187152 0.167022;
164, 0.234193 0.212372 0.271781 0.119202 0.188321 0.309732 0.198609 0.183645 0.24451 0.226516 0.189024 0.164379;
165, 0.233261 0.216809 0.27291 0.119082 0.192274 0.310007 0.20641 0.186088 0.243963 0.219375 0.193425 0.166106;
166, 0.231136 0.219302 0.277854 0.118155 0.196586 0.309882 0.212862 0.188332 0.245594 0.217649 0.196005 0.158926;
167, 0.23078 0.22619 0.284586 0.116679 0.196845 0.309796 0.212308 0.189266 0.245049 0.21323 0.203901 0.159075;
168, 0.227522 0.230093 0.288831 0.117142 0.194728 0.312699 0.211541 0.188576 0.245909 0.209333 0.212546 0.150951;
169, 0.225862 0.230461 0.293023 0.119331 0.196599 0.316124 0.20636 0.18448 0.244951 0.209075 0.21466 0.147941;
170, 0.226271 0.230947 0.293069 0.120514 0.194103 0.318243 0.202228 0.17737 0.246068 0.203657 0.214668 0.141954;
171, 0.227783 0.228332 0.291265 0.11809 0.19246 0.320616 0.206165 0.17586 0.251002 0.207253 0.219113 0.142018;
172, 0.229532 0.221487 0.28689 0.120813 0.1954 0.321873 0.2113 0.182806 0.255301 0.211349 0.219792 0.136014;
173, 0.231704 0.213783 0.282269 0.124111 0.1923 0.325769 0.214519 0.195511 0.256635 0.218205 0.214608 0.13583;
174, 0.23452 0.208558 0.276937 0.127082 0.191734 0.328927 0.218077 0.206317 0.257033 0.224963 0.210622 0.13551;
175, 0.238714 0.202091 0.27215 0.129074 0.18876 0.330055 0.215628 0.217238 0.253959 0.234383 0.20698 0.135649;
